Noord-Holland;Friesland, Flevoland, Utrecht, Zuid-Holland
Zuid-Holland;Noord-Holland, Utrecht, Gelderland, Noord-Brabant, Zeeland
Utrecht;Noord-Holland, Zuid-Holland, Gelderland, Noord-Brabant, Flevoland
Zeeland;Zuid-Holland, Noord-Brabant,
Noord-Brabant;Zeeland, Zuid-Holland, Limburg, Gelderland
Groningen;Friesland, Drente
Drente;Friesland, Groningen, Overijssel
Friesland;Drente, Groningen, Noord-Holland, Flevoland
Flevoland;Noord-Holland, Friesland, Utrecht, Gelderland, Overijssel
Overijssel;Drente, Friesland, Flevoland, Gelderland
Gelderland;Overijssel, Flevoland, Utrecht, Zuid-Holland, Limburg, Noord-Brabant
Limburg;Noord-Brabant, Gelderland
